uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation date,end portability date,current package
0CKYcr3yyBY3IwLaPol842p7FfN2,masculino,active,3/8/2021,processingSubscription,22,11,SP,weekly,3/16/2020,,customPackage
0CLWEwH3TXVRTasXN74mSfX72JA3,masculino,cancelRequested,3/3/2021,active,27,16,SP,weekly,8/5/2020,,customPackage
0DPFHE4P9AfdRJaE6P4lUAXaY0K3,masculino,active,2/22/2021,processingSubscription,61,31,MG,monthly,1/22/2021,,customPackage
0EguolwQL8SI4e8j3E8VxzXmR6M2,feminino,paused,2/9/2021,paymentFailedSubscription,39,12,SP,monthly,11/6/2020,,customPackage
0EybKqYI8kXmZjOuDc93W4n9Hx22,feminino,paused,12/26/2020,paymentFailedSubscription,22,11,SP,weekly,7/23/2020,8/10/2020,customPackage
0F0CqI3km0NnapAPDYvpwGDZkZ33,masculino,canceled,12/19/2020,cancelRequested,22,18,SP,weekly,8/26/2020,,customPackage
0F9xofpRi0hVC0sAIoTCbpNmA2V2,feminino,active,2/25/2021,activationComplete,23,11,SP,monthly,2/25/2021,3/5/2021,madePackage-1
0GeY0zp6h5duaNzzmRbr5YTP2Dt1,masculino,active,2/26/2021,processingSubscription,23,13,SP,monthly,10/22/2020,11/20/2020,customPackage
0HEc6CN32jMzffu1PLXJgZzCJNl1,masculino,paused,3/3/2021,paymentFailedSubscription,25,11,SP,monthly,10/9/2020,,customPackage
0HP0D7SrRGNQXoAfa9bqDNoEA7k2,feminino,active,2/11/2021,activationComplete,62,19,SP,monthly,2/9/2021,,customPackage
0HrWxmP88rO8AvtrYVF3KGxn82m1,feminino,active,2/11/2021,processingSubscription,36,11,SP,monthly,12/3/2020,,customPackage
0IUsqWThgsRn1WNG00DyXzxFHuI3,masculino,active,2/23/2021,processingSubscription,56,11,SP,monthly,3/3/2020,,customPackage
0J7JKPqUjaYvpnHSJPN0AzPy5px1,masculino,canceled,12/31/2020,cancelRequested,18,11,SP,weekly,8/26/2020,,customPackage
0JKlsBZIlLawS8TvZcUg2zMHwD82,masculino,active,2/17/2021,processingSubscription,20,61,DF,monthly,12/15/2020,12/18/2020,madePackage-1
0LOJiuaIRWd73xi4VrKWNPFEJ3d2,masculino,active,3/5/2021,processingSubscription,29,16,SP,monthly,8/11/2020,8/14/2020,customPackage
0LOm03p1HrZndRbIxr2M8BumCLG3,masculino,active,3/3/2021,processingSubscription,23,21,RJ,monthly,2/3/2021,2/8/2021,customPackage
0No2QUB3abepgreTj0gqggAplFx1,masculino,canceled,1/15/2021,cancelRequested,33,11,SP,weekly,7/31/2020,,customPackage
0OvYCkDPbVNVhYENfnZeeft133v1,masculino,active,2/21/2021,processingSubscription,22,14,SP,monthly,9/29/2020,10/5/2020,customPackage
0Q6PvOpwuIhCh3aHWX39GKipyoI2,masculino,active,3/7/2021,processingSubscription,24,11,SP,weekly,5/16/2020,6/19/2020,customPackage
0Q7ckkdKNQOoiqwZgLOfl2AQvzk1,feminino,active,3/2/2021,processingSubscription,54,11,SP,weekly,10/6/2020,10/23/2020,customPackage
0RNVJRYL8PdQqUVmFiRUReYyG7e2,masculino,active,2/23/2021,processingSubscription,40,11,SP,monthly,10/23/2020,10/28/2020,customPackage
0S6iIghKbJbgczU8eHbbe2YlNU32,masculino,active,3/7/2021,processingSubscription,22,11,SP,monthly,11/6/2020,,customPackage
0SVVqXSiKqRfqukTiDtOZZlucvj1,masculino,active,3/4/2021,processingSubscription,65,11,SP,weekly,9/10/2020,9/15/2020,customPackage
0Sgz7WEGwdS7nJ6xsJ0dwK4NEep1,masculino,canceled,12/24/2020,cancelRequested,24,11,SP,weekly,9/17/2020,,customPackage
